mturk_id,ip,phrase,dimension,rating_value,time
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a killer is,potency,2.9,27.401287
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a foodie is,potency,1.9,4.6057448
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",an ophthalmologist is,potency,2.9,4.5755692
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a vegetarian is,potency,4.3,3.9600303
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a guitarist is,potency,2,5.0609469
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",an officer is,potency,2,9.7835684
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a researcher is,potency,1,4.3533773
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a dunce is,potency,2,5.7511601
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a braggart is,potency,-3.1,15.322592
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a spouse is,potency,4.1,3.6072848
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a nerd is,potency,-4.2,17.068665
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a gardener is,potency,0.9,4.4405394
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a shrink is,potency,-1.1,14.387668
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a vegan is,potency,4.3,3.1974008
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a fanboy is,potency,1,5.5229802
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a vagrant is,potency,-4.3,13.786198
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a mascot is,potency,1.9,14.317201
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a billionaire is,potency,4.3,11.291847
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",an actress is,potency,1.9,3.4117177
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a cowboy is,potency,1,3.5261924
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",an explorer is,potency,2,3.7962494
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a buffoon is,potency,-0.9,13.573228
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a chief is,potency,3.1,4.1722989
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a nut is,potency,0.9,5.3423653
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a daredevil is,potency,2,3.9391773
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",an inventor is,potency,2.9,3.2264476
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a stepmother is,potency,2,3.7164304
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a ninja is,potency,4.3,3.3497322
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a surfer is,potency,3,4.8385267
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a wizard is,potency,1.8,3.4554081
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a braggart is,activity,-3,19.204359
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a ninja is,activity,4.3,3.1348448
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a pirate is,activity,2.9,3.7273335
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a superhero is,activity,4.3,2.7451942
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a sculptor is,activity,-1,9.7633591
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a bailiff is,activity,1.9,18.507917
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a kindergartener is,activity,4.1,5.2655406
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a nerd is,activity,-2.1,3.4382339
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a vagrant is,activity,1.1,11.542669
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a cyclist is,activity,-1.1,7.4086914
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a scoundrel is,activity,1.9,4.8908916
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a wizard is,activity,2,3.6763918
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",an activist is,activity,3,3.2002313
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a researcher is,activity,0.9,4.2839127
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a nazi is,activity,3,3.5151389
