mturk_id,ip,phrase,dimension,rating_value,time
A70L26UXLTGLC,"75.89.132.108, 172.16.2.139, 172.16.17.70",a bailiff is,evaluative,2.4,15.53954244
A70L26UXLTGLC,"75.89.132.108, 172.16.2.139, 172.16.17.70",a vagrant is,evaluative,-2.9,4.641438484
A70L26UXLTGLC,"75.89.132.108, 172.16.2.139, 172.16.17.70",a pervert is,evaluative,-3,3.801596165
A70L26UXLTGLC,"75.89.132.108, 172.16.2.139, 172.16.17.70",a genius is,evaluative,2,3.384733677
A70L26UXLTGLC,"75.89.132.108, 172.16.2.139, 172.16.17.70",a hunter is,evaluative,1,8.014537096
A70L26UXLTGLC,"75.89.132.108, 172.16.2.139, 172.16.17.70",a veteran is,evaluative,3,5.400214195
A70L26UXLTGLC,"75.89.132.108, 172.16.2.139, 172.16.17.70",a junkie is,evaluative,-4.3,2.70967555
A70L26UXLTGLC,"75.89.132.108, 172.16.2.139, 172.16.17.70",a skater is,evaluative,0,5.986756325
A70L26UXLTGLC,"75.89.132.108, 172.16.2.139, 172.16.17.70",a helper is,evaluative,3,3.524866343
A70L26UXLTGLC,"75.89.132.108, 172.16.2.139, 172.16.17.70",a poet is,evaluative,0.1,4.93780756
A70L26UXLTGLC,"75.89.132.108, 172.16.2.139, 172.16.17.70",a wizard is,evaluative,-2,3.842026472
A70L26UXLTGLC,"75.89.132.108, 172.16.2.139, 172.16.17.70",a blabbermouth is,evaluative,-2,3.420395851
